source_id,target_id,relation_type
APP-0001,DO-0010,reads_writes
APP-0001,DO-0012,reads_writes
APP-0001,DO-0035,reads_writes
APP-0001,DO-0036,reads_writes
APP-0002,DO-0001,reads_writes
APP-0002,DO-0015,reads_writes
APP-0002,DO-0049,reads_writes
APP-0003,DO-0002,reads_writes
APP-0003,DO-0020,reads_writes
APP-0003,DO-0035,reads_writes
APP-0003,DO-0048,reads_writes
APP-0004,DO-0032,reads_writes
APP-0005,DO-0016,reads_writes
APP-0005,DO-0023,reads_writes
APP-0005,DO-0036,reads_writes
APP-0005,DO-0041,reads_writes
APP-0006,DO-0015,reads_writes
APP-0006,DO-0022,reads_writes
APP-0006,DO-0036,reads_writes
APP-0006,DO-0045,reads_writes
APP-0007,DO-0005,reads_writes
APP-0007,DO-0013,reads_writes
APP-0007,DO-0047,reads_writes
APP-0008,DO-0015,reads_writes
APP-0008,DO-0021,reads_writes
APP-0009,DO-0035,reads_writes
APP-0010,DO-0027,reads_writes
APP-0011,DO-0009,reads_writes
APP-0012,DO-0003,reads_writes
APP-0012,DO-0021,reads_writes
APP-0013,DO-0016,reads_writes
APP-0013,DO-0027,reads_writes
APP-0014,DO-0044,reads_writes
APP-0014,DO-0049,reads_writes
APP-0015,DO-0008,reads_writes
APP-0015,DO-0015,reads_writes
APP-0015,DO-0016,reads_writes
APP-0015,DO-0036,reads_writes
APP-0016,DO-0021,reads_writes
APP-0016,DO-0040,reads_writes
APP-0017,DO-0016,reads_writes
APP-0017,DO-0020,reads_writes
APP-0017,DO-0041,reads_writes
APP-0018,DO-0003,reads_writes
APP-0018,DO-0005,reads_writes
APP-0018,DO-0006,reads_writes
APP-0018,DO-0021,reads_writes
APP-0019,DO-0006,reads_writes
APP-0019,DO-0029,reads_writes
APP-0019,DO-0041,reads_writes
APP-0019,DO-0046,reads_writes
APP-0020,DO-0033,reads_writes
APP-0021,DO-0041,reads_writes
APP-0022,DO-0011,reads_writes
APP-0022,DO-0041,reads_writes
APP-0022,DO-0047,reads_writes
APP-0023,DO-0027,reads_writes
APP-0023,DO-0030,reads_writes
APP-0023,DO-0036,reads_writes
APP-0023,DO-0046,reads_writes
APP-0024,DO-0001,reads_writes
APP-0024,DO-0014,reads_writes
APP-0024,DO-0043,reads_writes
APP-0025,DO-0015,reads_writes
APP-0025,DO-0022,reads_writes
APP-0025,DO-0046,reads_writes
APP-0026,DO-0031,reads_writes
APP-0027,DO-0015,reads_writes
APP-0027,DO-0049,reads_writes
APP-0028,DO-0006,reads_writes
APP-0028,DO-0010,reads_writes
APP-0028,DO-0020,reads_writes
APP-0029,DO-0017,reads_writes
APP-0029,DO-0028,reads_writes
APP-0030,DO-0002,reads_writes
APP-0030,DO-0006,reads_writes
APP-0030,DO-0023,reads_writes
APP-0030,DO-0032,reads_writes
APP-0031,DO-0001,reads_writes
APP-0031,DO-0015,reads_writes
APP-0032,DO-0003,reads_writes
APP-0032,DO-0025,reads_writes
APP-0033,DO-0011,reads_writes
APP-0033,DO-0045,reads_writes
APP-0034,DO-0011,reads_writes
APP-0034,DO-0036,reads_writes
APP-0034,DO-0044,reads_writes
APP-0035,DO-0018,reads_writes
APP-0035,DO-0032,reads_writes
APP-0036,DO-0004,reads_writes
APP-0036,DO-0035,reads_writes
APP-0037,DO-0021,reads_writes
APP-0037,DO-0031,reads_writes
APP-0037,DO-0046,reads_writes
APP-0038,DO-0002,reads_writes
APP-0038,DO-0026,reads_writes
APP-0038,DO-0039,reads_writes
APP-0038,DO-0040,reads_writes
APP-0039,DO-0007,reads_writes
APP-0039,DO-0021,reads_writes
APP-0039,DO-0046,reads_writes
APP-0039,DO-0049,reads_writes
APP-0040,DO-0005,reads_writes
APP-0040,DO-0019,reads_writes
APP-0040,DO-0042,reads_writes
APP-0041,DO-0019,reads_writes
APP-0042,DO-0003,reads_writes
APP-0042,DO-0018,reads_writes
APP-0042,DO-0025,reads_writes
APP-0042,DO-0041,reads_writes
APP-0043,DO-0013,reads_writes
APP-0043,DO-0034,reads_writes
APP-0044,DO-0003,reads_writes
APP-0044,DO-0043,reads_writes
APP-0045,DO-0016,reads_writes
APP-0046,DO-0012,reads_writes
APP-0046,DO-0017,reads_writes
APP-0046,DO-0022,reads_writes
APP-0047,DO-0029,reads_writes
APP-0047,DO-0036,reads_writes
APP-0048,DO-0006,reads_writes
APP-0048,DO-0007,reads_writes
APP-0048,DO-0009,reads_writes
APP-0048,DO-0010,reads_writes
APP-0049,DO-0028,reads_writes
APP-0050,DO-0004,reads_writes
APP-0050,DO-0005,reads_writes
APP-0050,DO-0026,reads_writes
APP-0050,DO-0035,reads_writes
APP-0051,DO-0001,reads_writes
APP-0051,DO-0028,reads_writes
APP-0051,DO-0033,reads_writes
APP-0052,DO-0025,reads_writes
APP-0053,DO-0025,reads_writes
APP-0054,DO-0028,reads_writes
APP-0054,DO-0042,reads_writes
APP-0055,DO-0017,reads_writes
APP-0055,DO-0034,reads_writes
APP-0055,DO-0042,reads_writes
APP-0056,DO-0013,reads_writes
APP-0056,DO-0021,reads_writes
APP-0056,DO-0030,reads_writes
APP-0057,DO-0012,reads_writes
APP-0058,DO-0021,reads_writes
APP-0058,DO-0029,reads_writes
APP-0059,DO-0003,reads_writes
APP-0059,DO-0005,reads_writes
APP-0060,DO-0038,reads_writes
